scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0096.png,297.4591775810777,291.06705010652547,321.3784377993778,283.2793839889394,293.2872135895137,270.4853610814766,317.7627356733557,266.0352661571417,297.4591775810777,239.61282754390317,284.108892808073,232.6595542246299,309.6969386229987,231.54703049354617,282.1619762786765,213.4685198634356,307.47189116083126,210.6872105357263
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0158.png,297.41545094059836,291.3591554227478,320.84822430088104,284.55609218911735,292.1241795366636,268.682277977313,316.81677942169256,267.17048614761734,295.3997285010041,234.66696180916074,282.04556733869254,227.35996796563177,308.75388966331576,225.59621083098682,279.77787959414906,207.2027435696897,305.2263753940259,205.43898643504477
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0210.png,296.8981627776969,290.12287796304105,320.84261952649194,283.79273422485386,293.5954790882079,268.9306576221535,315.0629230698862,267.55453941819974,296.07249185532464,238.10560985358978,283.41220437895026,230.39934791144884,308.4575556909083,228.47278242591364,279.28384976708907,209.2071275705613,305.7053192830008,207.00533844423532
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0337.png,298.8729786500326,292.10394548223144,321.4684519200223,286.64986572740634,293.67861697877066,272.6250892149989,317.0532444994496,267.69044562730005,291.86059039382894,239.12145643535908,278.6149681321109,233.14794051340778,304.3270584048577,230.29104159421368,274.19976071153815,209.7733129927288,302.76874990347915,204.5789513214668
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0348.png,297.7301599674181,291.402086434322,323.9219534168953,284.4943606894049,294.27629709495955,268.9519777633415,316.72640576594,267.22504632711224,288.80768088023353,240.74543097159682,275.56787320247577,232.11077379045048,300.32055712176196,230.9594861662976,273.5531198602083,212.8267060858903,299.74491330968556,210.2363089315464
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0520.png,296.94540433418024,292.36779192040643,320.14947072535506,285.5763578546967,294.3986165595391,268.03181985161325,316.75375369250025,267.46586701280415,303.73683839988996,239.168225072347,315.9048244342865,228.69809755437785,289.0220645908522,232.0938145872327,286.4758388926606,209.28880309325794,315.0045136358097,206.04554445184388
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0579.png,297.3073655775538,289.18525691748516,321.3826504654571,284.1585490837471,292.2806577438157,268.5492984421395,317.14963334230924,262.7288998978112,293.86803916499616,240.7701235714818,290.957839892832,226.21912721066113,311.06467122778423,241.2992507118753,300.7466919901114,210.34531299885674,322.17634117604734,225.4254365000709
labeled-data,2_ATR_cop_video2022-02-01T12_46_17,img0602.png,297.10445113379683,290.6013019313001,321.28149124100656,283.4057542803448,290.48454729491795,264.1216865757846,316.38851883835696,263.25822085767004,303.72435497267566,247.4280160255684,292.2114787311472,238.50553693838384,316.6763407443952,240.23246837461312,293.36276635530015,218.64582542174728,318.40327218062447,219.50929113986192
