500, 0.03689, 0.005
1000, 0.02097, 0.005
1500, 0.01842, 0.005
2000, 0.01684, 0.005
2500, 0.01534, 0.005
3000, 0.01376, 0.005
3500, 0.01288, 0.005
4000, 0.01198, 0.005
4500, 0.01119, 0.005
5000, 0.01049, 0.005
5500, 0.00995, 0.005
6000, 0.00963, 0.005
6500, 0.00898, 0.005
7000, 0.00880, 0.005
7500, 0.00849, 0.005
8000, 0.00792, 0.005
8500, 0.00767, 0.005
9000, 0.00740, 0.005
9500, 0.00724, 0.005
10000, 0.00688, 0.005
10500, 0.00900, 0.02
11000, 0.00790, 0.02
11500, 0.00697, 0.02
12000, 0.00660, 0.02
12500, 0.00625, 0.02
13000, 0.00576, 0.02
13500, 0.00567, 0.02
14000, 0.00540, 0.02
14500, 0.00514, 0.02
15000, 0.00504, 0.02
15500, 0.00486, 0.02
16000, 0.00486, 0.02
16500, 0.00463, 0.02
17000, 0.00445, 0.02
17500, 0.00419, 0.02
18000, 0.00402, 0.02
18500, 0.00399, 0.02
19000, 0.00405, 0.02
19500, 0.00397, 0.02
20000, 0.00373, 0.02
20500, 0.00382, 0.02
21000, 0.00366, 0.02
21500, 0.00355, 0.02
22000, 0.00362, 0.02
22500, 0.00348, 0.02
23000, 0.00360, 0.02
23500, 0.00339, 0.02
24000, 0.00338, 0.02
24500, 0.00342, 0.02
25000, 0.00320, 0.02
25500, 0.00321, 0.02
26000, 0.00327, 0.02
26500, 0.00315, 0.02
27000, 0.00315, 0.02
27500, 0.00302, 0.02
28000, 0.00314, 0.02
28500, 0.00315, 0.02
29000, 0.00287, 0.02
29500, 0.00297, 0.02
30000, 0.00302, 0.02
30500, 0.00296, 0.02
31000, 0.00288, 0.02
31500, 0.00285, 0.02
32000, 0.00284, 0.02
32500, 0.00287, 0.02
33000, 0.00278, 0.02
33500, 0.00273, 0.02
34000, 0.00268, 0.02
34500, 0.00260, 0.02
35000, 0.00271, 0.02
35500, 0.00267, 0.02
36000, 0.00261, 0.02
36500, 0.00270, 0.02
37000, 0.00262, 0.02
37500, 0.00275, 0.02
38000, 0.00256, 0.02
38500, 0.00259, 0.02
39000, 0.00262, 0.02
39500, 0.00247, 0.02
40000, 0.00257, 0.02
40500, 0.00249, 0.02
41000, 0.00250, 0.02
41500, 0.00256, 0.02
42000, 0.00245, 0.02
42500, 0.00247, 0.02
43000, 0.00247, 0.02
43500, 0.00247, 0.02
44000, 0.00248, 0.02
44500, 0.00232, 0.02
45000, 0.00241, 0.02
45500, 0.00241, 0.02
46000, 0.00239, 0.02
46500, 0.00232, 0.02
47000, 0.00221, 0.02
47500, 0.00231, 0.02
48000, 0.00234, 0.02
48500, 0.00231, 0.02
49000, 0.00225, 0.02
49500, 0.00224, 0.02
50000, 0.00231, 0.02
50500, 0.00230, 0.02
51000, 0.00228, 0.02
51500, 0.00228, 0.02
52000, 0.00217, 0.02
52500, 0.00227, 0.02
53000, 0.00221, 0.02
53500, 0.00230, 0.02
54000, 0.00219, 0.02
54500, 0.00219, 0.02
55000, 0.00216, 0.02
55500, 0.00214, 0.02
56000, 0.00216, 0.02
56500, 0.00211, 0.02
57000, 0.00213, 0.02
57500, 0.00216, 0.02
58000, 0.00216, 0.02
58500, 0.00205, 0.02
59000, 0.00209, 0.02
59500, 0.00216, 0.02
60000, 0.00202, 0.02
60500, 0.00211, 0.02
