scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0033.png,302.35619600159794,296.73561260226523,332.9589285637284,294.5838579689904,302.35619600159794,274.7398985732339,331.7635093230202,274.5008147250923,313.11496916797194,241.02907598526207,298.0526867350483,233.37839284472946,325.0691615750542,231.22663821145466,298.0526867350484,211.62176266383983,325.54732927133745,210.42634342313158
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0095.png,302.27746359095096,296.94510994179416,333.8419326198081,294.48263363457835,303.39677100332176,275.67826910674853,330.931733347644,274.7828231768519,313.02281474971085,240.53201635830476,298.9195413538385,234.04003336655398,326.4545036981607,231.35369557686403,298.9195413538385,212.99705401398256,324.43975035589324,210.7584391892409
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0144.png,303.387213280937,296.85349148052524,332.52506260366727,294.9472770388513,302.02563153688413,275.06818357568017,330.34653181318276,273.4342854828168,313.4629181869278,240.75632362554913,298.48551900234685,232.0422004636111,326.5341029298349,231.49756776598997,299.5747843975891,212.70773969806106,325.17252118578205,210.80152525638712
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0171.png,303.9417671124405,296.77454881229005,333.60874357556435,292.606461210033,301.9803141231431,275.19856593001816,330.9117457152803,273.9726578117073,313.2586688116034,240.6279569936508,298.54777139187263,233.02732666012324,325.7629316183746,230.57551042350144,300.50922438117004,212.9224335198245,324.7822051237258,210.96098053052702
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0193.png,303.9968476971997,296.48810302445577,332.4117504141909,294.663292758227,302.1720374309709,274.3296926488204,331.36900169063165,272.24419520170176,312.0781503047844,240.44035913314278,297.21898099406417,233.1411180682276,324.5911349874961,231.05562062110897,297.74035535584386,211.50408205437188,324.8518221683859,210.20064614992273
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0244.png,303.50224028813295,296.25805870103704,331.54597872898734,293.87698656926636,305.35418527951015,275.88666379588807,331.54597872898734,275.6221002256914,313.2910923854123,240.69970895972173,298.47553245439485,233.55649256440978,325.9901437548558,231.70454757303258,300.0629138755753,212.65597051886735,325.4610166144623,210.80402552749015
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0328.png,303.1866731256305,296.2406924769421,332.15493041618345,292.96126712329465,302.3668167872186,273.8312858936842,330.24193229322236,272.46485866299776,313.02494918657305,241.31031780334655,299.3606768797084,232.5651835269532,326.4159360473003,230.65218540399218,298.26753509515925,210.97563328210717,322.8632252475155,207.69620792845967
labeled-data,4_ATR_cop_video2022-02-02T17_56_14,img0387.png,304.48080036570775,296.2466039706352,331.44108799528027,292.46712439639606,302.9690085360121,274.82955304994675,331.18912269033103,273.0657959153018,307.75634933004835,226.70417980463503,291.6305698132947,221.91683901059878,318.5908574428672,214.6098451670698,287.347159629157,201.0037186998089,313.29958603893243,195.46048199092482
