scorer,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,F_reye,F_reye,F_leye,F_leye,F_rch,F_rch,F_lch,F_lch,F_cch,F_cch,F_ge,F_ge,M_reye,M_reye,M_leye,M_leye,M_rch,M_rch,M_lch,M_lch,M_cch,M_cch,M_ge,M_ge
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data\8_add_211112T15_42_15\img012797.png,305.78210570968406,291.8014126787735,328.97841932224503,278.1565223184435,297.25404923447775,270.651832620262,326.249441250179,259.735920331998,307.48771700472525,244.3854186766267,298.2774160115025,185.71239012720764,,,,,,,,,,,326.249441250179,137.95527386605258
labeled-data\8_add_211112T15_42_15\img025258.png,304.6966236704054,291.4369933200307,329.43767842177084,276.37722086267786,297.16673744172897,272.2895683385392,323.1986298322961,262.60828604452666,308.1388573749432,246.68795516103933,295.6607601959937,183.65205044669088,168.15457673119272,274.3648708817806,195.06834768908226,280.11743261323784,172.26354939651935,256.9017370541423,197.53373128827826,263.06519605213225,190.54847775722294,241.287640925901,,
labeled-data\8_add_211112T15_42_15\img035579.png,307.5087536849453,292.658637410104,328.26681842345874,276.7848231982996,301.40344052655894,274.03743227702574,323.68783355466894,261.52154030233385,305.06662842159074,241.06874122173974,,,300.48764355280105,210.54217542980825,327.35102144970074,212.37376937732412,298.65604960528515,193.4472985863266,326.1299588180235,193.4472985863266,313.3088011854122,174.8260934532484,,
labeled-data\8_add_211112T15_42_15\img037536.png,308.3394188503908,291.3838480226329,328.9346752380139,276.4054797407252,301.65264729596765,275.60306715419443,323.85272885665233,262.7644657697021,305.6647102286215,244.04150541731744,,,302.9900016068523,214.88718144003275,330.2720295488985,215.95706488874043,302.1875890203215,196.43169194982502,328.39973351366007,195.62927936329427,313.9563069561062,176.9063190109096,,
labeled-data\8_add_211112T15_42_15\img045261.png,306.87028038588505,291.00276018987046,329.0432272214214,276.86750658221604,301.32704367700103,272.1557553796646,323.7771523479815,259.4063109492313,303.82150019599885,243.60808632891167,,,304.09866203144304,228.36418537948046,329.0432272214214,232.5216129111435,308.8104132339945,212.56596075916087,332.36916924675177,212.28879892371666,321.55985766442785,197.04489797428548,,
labeled-data\8_add_211112T15_42_15\img052176.png,306.299292601915,291.6055387270953,329.00815025913187,276.9847673587502,301.0109284899604,270.7631625211565,323.0976256634179,258.94211332972856,306.9214530856744,246.18782341266157,,,299.76660752244163,230.01165083491804,324.964107114696,232.8113730118352,305.0549716343963,213.83547825717454,325.8973478403351,213.52439801529485,316.87602082582424,196.4149847119123,,
labeled-data\8_add_211112T15_42_15\img061182.png,306.903547558917,290.7658546573785,329.540692013956,276.0995357146772,304.99054943595604,272.9112055097421,324.75819670655346,262.3897158334564,305.9470484974365,244.8538997063135,298.6138890260859,184.91329185353425,243.4557764807092,183.63795977156022,259.078594484891,161.31964833701474,232.29662076343647,168.9716408288589,244.09344252169623,151.11699168122254,221.77513108715075,148.885160537768,182.55866956644942,134.21884159506666
labeled-data\8_add_211112T15_42_15\img067650.png,305.3127728434472,292.17011544770037,328.0768690482875,275.30782196263345,302.2213523711849,272.7784779398734,325.2664868007763,259.8507196013221,306.43692574245165,244.955693689513,300.5351230226782,181.16001667100983,471.96844012085853,178.63067264824977,475.90297526737413,151.08892662264049,455.3871848605428,173.5719846027297,460.44587290606285,149.68373549888491,435.15243267846245,154.74242354440497,394.1208518647996,149.4026972741338
