scorer,,,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama,yama
bodyparts,,,F_reye,F_reye,E_leye,E_leye,F_rche,F_rche,F_lche,F_lche,M_head,M_head,M_reye,M_reye,M_leye,M_leye,M_rche,M_rche,M_lche,M_lche
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0026.png,313.46037043005583,328.1847181647855,341.1765539744762,319.3659324915609,308.6730296360196,305.7598060243,335.12938665569357,299.2087080956188,316.73591939439643,274.01217760069125,301.86996640238914,269.4768021116043,326.5625662874182,261.917842963126,297.8385215232007,248.81564710576367,319.50753774883844,241.25668795728538
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0095.png,314.64218752729255,326.322171248654,341.36213901983655,318.87562739007615,310.04285161464156,305.5156516438042,335.2296911363019,300.0402517477911,315.51825151065464,273.9773482427687,299.5300838142964,269.37801233011766,326.25003530684035,261.7124524756993,295.58779588916696,249.00952471694887,319.2415234399436,241.12494886669
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0124.png,313.0644297271153,324.56325960064265,341.3097404119291,317.1428813698865,308.277088933079,304.69579530539227,334.3680962605765,298.47225227314516,316.4155682829406,276.2111175808766,300.3779766229193,271.42377678684034,324.07531355339864,262.8065633575751,295.11190174947933,249.64137617397546,317.61240348144975,243.17846610202653
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0147.png,314.88559473374954,325.4055989970347,340.7372350215452,317.67220232974535,306.9312438759663,305.2987676620824,334.3295634972198,300.2168212807209,314.4436863527615,275.9118603263831,299.4188013991709,271.2718223260095,324.38662492499066,263.5384256587202,294.1159008273154,249.6183116575994,318.86277016264114,242.98968594278
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0207.png,314.6616799509224,326.26462624939285,340.79242026881576,320.45779506763876,309.2696224250079,304.48900931781503,334.1560417753825,300.1338859314995,319.8463506489171,270.68495636688954,304.9144990386924,265.70767249681455,331.66739984034507,259.27868083130113,299.7298283406976,242.89512142563785,326.06795548651075,236.67351658804418
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0297.png,315.7403574733216,326.8287184213347,341.5726158145827,318.7561376896906,308.82100256048375,304.4561375364925,334.88390606550615,297.5367826236547,315.7403574733216,273.31904042872236,300.5177766650784,268.47549198973593,324.96616402377197,260.6335564218531,295.4435830623307,246.33355626865495,321.04519623983055,239.41420135581714
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0333.png,312.68666638273214,324.6184206204801,342.72480712199274,318.4200741187279,308.1571054776055,303.4010037490976,335.81126679311524,297.67945313209555,314.35545197935767,274.5548527217124,296.95240218597655,270.2636897589609,324.8449614438614,263.1117514877084,292.42284128085,247.13908934857773,319.60020671160953,240.94074284682551
labeled-data,6_ATR_cop_video2022-02-04T15_36_12,img0380.png,314.1562574156893,326.3656255727845,343.23692999614263,319.09545742767114,307.82417548284866,303.85155647823996,336.2012834040975,299.39564696994466,320.2538177954618,256.7127243115374,303.6027875276216,252.9603794624466,331.0418092365977,244.28308199892427,297.5052271478491,231.61891813324297,324.00616264455255,222.70709911665242
